id,username,prefixed_id,prefix_code,role,category,full_name,email,phone,sponsor_id,registered_by,is_active,is_staff,is_superuser,date_joined,last_login,country,state,city,pincode,depth,matrix_position
2614,TR0000000001,TR-0000000001,TR,agency,company,Company Root,TR0000000001@example.com,9000000000,TR-0000000001,,True,True,True,2025-11-09T05:03:11.925838+00:00,,India,Karnataka,Kalaburagi,560001,0,
1,admin,,,user,consumer,Admin,baburajnk19@gmail.com,9999999999,admin,,True,True,True,2025-11-07T18:37:08.974461+00:00,2025-11-07T18:37:35.337757+00:00,,,,,0,
2615,TRCM0000000001,TRCM-0000000001,TRCM,agency,company_manager,Company Manager KA,TRCM0000000001@example.com,9000000001,TR-0000000001,TR0000000001,True,False,False,2025-11-09T05:03:13.526354+00:00,,India,Karnataka,Kalaburagi,560001,0,
2616,TRSC0000000001,TRSC-0000000001,TRSC,agency,agency_state_coordinator,State Coordinator Karnataka,TRSC0000000001@example.com,9000000002,TRCM-0000000001,TRCM0000000001,True,False,False,2025-11-09T05:03:15.175247+00:00,,India,Karnataka,Kalaburagi,560001,0,
2617,TRST0000000001,TRST-0000000001,TRST,agency,agency_state,Agency State Karnataka,TRST0000000001@example.com,9000000003,TRSC-0000000001,TRSC0000000001,True,False,False,2025-11-09T05:03:17.079654+00:00,,India,Karnataka,Kalaburagi,560001,0,
2618,TRDC0000000001,TRDC-0000000001,TRDC,agency,agency_district_coordinator,District Coordinator Kalaburagi,TRDC0000000001@example.com,9000001001,TRST-0000000001,TRST0000000001,True,False,False,2025-11-09T05:03:19.114175+00:00,,India,Karnataka,Kalaburagi,560001,0,
2619,TRDT0000000001,TRDT-0000000001,TRDT,agency,agency_district,Agency District Kalaburagi,TRDT0000000001@example.com,9000002001,TRDC-0000000001,TRDC0000000001,True,False,False,2025-11-09T05:03:21.063149+00:00,,India,Karnataka,Kalaburagi,560001,0,
2620,TRPC0000000001,TRPC-0000000001,TRPC,agency,agency_pincode_coordinator,Pincode Coordinator Kalaburagi,TRPC0000000001@example.com,9000003001,TRDT-0000000001,TRDT0000000001,True,False,False,2025-11-09T05:03:23.382604+00:00,,India,Karnataka,Kalaburagi,585101,0,
2621,TRPN0000000001,TRPN-0000000001,TRPN,agency,agency_pincode,Agency Pincode 585101,TRPN0000000001@example.com,90000040101,TRPC-0000000001,TRPC0000000001,True,False,False,2025-11-09T05:03:26.183969+00:00,,India,Karnataka,Kalaburagi,585101,0,
2622,TRSF0000000001,TRSF-0000000001,TRSF,agency,agency_sub_franchise,Sub-Franchise 585101-01,TRSF0000000001@example.com,958510101,TRPN-0000000001,TRPN0000000001,True,False,False,2025-11-09T05:03:28.189160+00:00,,India,Karnataka,Kalaburagi,585101,0,
2623,TREMP0000000001,TREMP-0000000001,TREMP,employee,employee,Employee 585101-01-01,TREMP0000000001@example.com,98510101,TRSF-0000000001,TRSF0000000001,True,False,False,2025-11-09T05:03:30.224563+00:00,,India,Karnataka,Kalaburagi,585101,0,
2624,TRC0000000001,TRC-0000000001,TRC,user,consumer,Consumer 585101-01-01-01,TRC0000000001@example.com,97510101,TREMP-0000000001,TREMP0000000001,True,False,False,2025-11-09T05:03:31.933069+00:00,,India,Karnataka,Kalaburagi,585101,0,
2625,TRC0000000002,TRC-0000000002,TRC,user,consumer,Consumer 585101-01-01-02,TRC0000000002@example.com,97510102,TREMP-0000000001,TREMP0000000001,True,False,False,2025-11-09T05:03:33.461240+00:00,,India,Karnataka,Kalaburagi,585101,0,
2626,TRC0000000003,TRC-0000000003,TRC,user,consumer,Consumer 585101-01-01-03,TRC0000000003@example.com,97510103,TREMP-0000000001,TREMP0000000001,True,False,False,2025-11-09T05:03:35.029613+00:00,,India,Karnataka,Kalaburagi,585101,0,
2627,TRC0000000004,TRC-0000000004,TRC,user,consumer,Consumer 585101-01-01-04,TRC0000000004@example.com,97510104,TREMP-0000000001,TREMP0000000001,True,False,False,2025-11-09T05:03:36.516263+00:00,,India,Karnataka,Kalaburagi,585101,0,
2628,TRC0000000005,TRC-0000000005,TRC,user,consumer,Consumer 585101-01-01-05,TRC0000000005@example.com,97510105,TREMP-0000000001,TREMP0000000001,True,False,False,2025-11-09T05:03:38.016583+00:00,,India,Karnataka,Kalaburagi,585101,0,
2629,TRC0000000006,TRC-0000000006,TRC,user,consumer,Consumer 585101-01-01-06,TRC0000000006@example.com,97510106,TREMP-0000000001,TREMP0000000001,True,False,False,2025-11-09T05:03:39.532388+00:00,,India,Karnataka,Kalaburagi,585101,0,
2630,TRC0000000007,TRC-0000000007,TRC,user,consumer,Consumer 585101-01-01-07,TRC0000000007@example.com,97510107,TREMP-0000000001,TREMP0000000001,True,False,False,2025-11-09T05:03:41.033962+00:00,,India,Karnataka,Kalaburagi,585101,0,
2631,TRC0000000008,TRC-0000000008,TRC,user,consumer,Consumer 585101-01-01-08,TRC0000000008@example.com,97510108,TREMP-0000000001,TREMP0000000001,True,False,False,2025-11-09T05:03:42.551821+00:00,,India,Karnataka,Kalaburagi,585101,0,
2632,TRC0000000009,TRC-0000000009,TRC,user,consumer,Consumer 585101-01-01-09,TRC0000000009@example.com,97510109,TREMP-0000000001,TREMP0000000001,True,False,False,2025-11-09T05:03:44.024503+00:00,,India,Karnataka,Kalaburagi,585101,0,
2633,TRC0000000010,TRC-0000000010,TRC,user,consumer,Consumer 585101-01-01-10,TRC0000000010@example.com,97510110,TREMP-0000000001,TREMP0000000001,True,False,False,2025-11-09T05:03:45.558824+00:00,,India,Karnataka,Kalaburagi,585101,0,
2634,TREMP0000000002,TREMP-0000000002,TREMP,employee,employee,Employee 585101-01-02,TREMP0000000002@example.com,98510102,TRSF-0000000001,TRSF0000000001,True,False,False,2025-11-09T05:03:47.063485+00:00,,India,Karnataka,Kalaburagi,585101,0,
2635,TRC0000000011,TRC-0000000011,TRC,user,consumer,Consumer 585101-01-02-01,TRC0000000011@example.com,97510101,TREMP-0000000002,TREMP0000000002,True,False,False,2025-11-09T05:03:48.578350+00:00,,India,Karnataka,Kalaburagi,585101,0,
2636,TRC0000000012,TRC-0000000012,TRC,user,consumer,Consumer 585101-01-02-02,TRC0000000012@example.com,97510102,TREMP-0000000002,TREMP0000000002,True,False,False,2025-11-09T05:03:50.231343+00:00,,India,Karnataka,Kalaburagi,585101,0,
2637,TRC0000000013,TRC-0000000013,TRC,user,consumer,Consumer 585101-01-02-03,TRC0000000013@example.com,97510103,TREMP-0000000002,TREMP0000000002,True,False,False,2025-11-09T05:03:51.705854+00:00,,India,Karnataka,Kalaburagi,585101,0,
2638,TRC0000000014,TRC-0000000014,TRC,user,consumer,Consumer 585101-01-02-04,TRC0000000014@example.com,97510104,TREMP-0000000002,TREMP0000000002,True,False,False,2025-11-09T05:03:53.223115+00:00,,India,Karnataka,Kalaburagi,585101,0,
2639,TRC0000000015,TRC-0000000015,TRC,user,consumer,Consumer 585101-01-02-05,TRC0000000015@example.com,97510105,TREMP-0000000002,TREMP0000000002,True,False,False,2025-11-09T05:03:54.745411+00:00,,India,Karnataka,Kalaburagi,585101,0,
2640,TRC0000000016,TRC-0000000016,TRC,user,consumer,Consumer 585101-01-02-06,TRC0000000016@example.com,97510106,TREMP-0000000002,TREMP0000000002,True,False,False,2025-11-09T05:03:56.297742+00:00,,India,Karnataka,Kalaburagi,585101,0,
2641,TRC0000000017,TRC-0000000017,TRC,user,consumer,Consumer 585101-01-02-07,TRC0000000017@example.com,97510107,TREMP-0000000002,TREMP0000000002,True,False,False,2025-11-09T05:03:57.806375+00:00,,India,Karnataka,Kalaburagi,585101,0,
2642,TRC0000000018,TRC-0000000018,TRC,user,consumer,Consumer 585101-01-02-08,TRC0000000018@example.com,97510108,TREMP-0000000002,TREMP0000000002,True,False,False,2025-11-09T05:03:59.317444+00:00,,India,Karnataka,Kalaburagi,585101,0,
2643,TRC0000000019,TRC-0000000019,TRC,user,consumer,Consumer 585101-01-02-09,TRC0000000019@example.com,97510109,TREMP-0000000002,TREMP0000000002,True,False,False,2025-11-09T05:04:00.818585+00:00,,India,Karnataka,Kalaburagi,585101,0,
2644,TRC0000000020,TRC-0000000020,TRC,user,consumer,Consumer 585101-01-02-10,TRC0000000020@example.com,97510110,TREMP-0000000002,TREMP0000000002,True,False,False,2025-11-09T05:04:02.316172+00:00,,India,Karnataka,Kalaburagi,585101,0,
2645,TREMP0000000003,TREMP-0000000003,TREMP,employee,employee,Employee 585101-01-03,TREMP0000000003@example.com,98510103,TRSF-0000000001,TRSF0000000001,True,False,False,2025-11-09T05:04:03.901155+00:00,,India,Karnataka,Kalaburagi,585101,0,
2646,TRC0000000021,TRC-0000000021,TRC,user,consumer,Consumer 585101-01-03-01,TRC0000000021@example.com,97510101,TREMP-0000000003,TREMP0000000003,True,False,False,2025-11-09T05:04:05.430754+00:00,,India,Karnataka,Kalaburagi,585101,0,
2647,TRC0000000022,TRC-0000000022,TRC,user,consumer,Consumer 585101-01-03-02,TRC0000000022@example.com,97510102,TREMP-0000000003,TREMP0000000003,True,False,False,2025-11-09T05:04:06.946001+00:00,,India,Karnataka,Kalaburagi,585101,0,
2648,TRC0000000023,TRC-0000000023,TRC,user,consumer,Consumer 585101-01-03-03,TRC0000000023@example.com,97510103,TREMP-0000000003,TREMP0000000003,True,False,False,2025-11-09T05:04:08.455739+00:00,,India,Karnataka,Kalaburagi,585101,0,
